Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Rocky Bleier,PIT,RB,29.0,72.3,11.0,11.0,0.0,0.0,0.0,528.0,2.0,140.0,65.0,0.0,,15.0,0.0,7.0,0.0
John Hadl,GNB,QB,35.0,56.5,14.0,13.0,2095.0,6.0,353.0,47.0,0.0,20.0,0.0,0.0,,0.0,21.0,7.0,0.0
Chip Myers,CIN,WR,30.0,106.7,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,3.0,,36.0,0.0,0.0,0.0
Golden Richards,DAL,WR,25.0,85.89999999999999,14.0,13.0,0.0,0.0,0.0,18.0,0.0,3.0,451.0,4.0,,21.0,0.0,3.0,0.0
Roland Harper,CHI,RB,22.0,91.4,13.0,10.0,0.0,0.0,0.0,453.0,1.0,100.0,191.0,0.0,,27.0,0.0,3.0,0.0
Barty Smith,GNB,RB,23.0,80.3,14.0,2.0,0.0,0.0,0.0,243.0,4.0,60.0,140.0,1.0,,16.0,0.0,2.0,0.0
Jack Dolbin,DEN,WR,27.0,89.3,14.0,1.0,0.0,0.0,0.0,72.0,0.0,5.0,421.0,3.0,,22.0,0.0,0.0,0.0
John Stallworth,PIT,WR,23.0,86.3,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,4.0,,20.0,0.0,0.0,0.0
Steve Jones,STL,RB,24.0,77.9,13.0,1.0,0.0,0.0,0.0,275.0,2.0,54.0,194.0,1.0,,19.0,0.0,3.0,0.0
James McAlister,PHI,RB,24.0,71.9,14.0,2.0,0.0,0.0,0.0,335.0,1.0,103.0,134.0,2.0,,17.0,0.0,5.0,0.0
Hugh McKinnis,CLE,RB,27.0,78.4,14.0,1.0,0.0,0.0,0.0,259.0,4.0,71.0,155.0,0.0,,17.0,0.0,2.0,0.0
Roger Carr,BAL,WR,23.0,86.7,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,2.0,,23.0,0.0,0.0,0.0
Fred Willis,HOU,RB,28.0,70.4,13.0,4.0,0.0,0.0,0.0,420.0,2.0,118.0,104.0,0.0,,20.0,0.0,7.0,0.0
MacArthur Lane,KAN,RB,33.0,78.30000000000001,9.0,7.0,0.0,0.0,0.0,311.0,2.0,79.0,202.0,0.0,,25.0,0.0,5.0,0.0
Haven Moses,DEN,WR,29.0,89.5,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,2.0,,29.0,0.0,1.0,0.0
Marlin Briscoe,2TM,WR,30.0,82.9,11.0,8.0,0.0,0.0,2.0,-3.0,0.0,2.0,372.0,4.0,,24.0,0.0,1.0,0.0
Larry Brunson,KAN,WR,26.0,83.7,14.0,14.0,0.0,0.0,0.0,89.0,0.0,2.0,398.0,2.0,,23.0,0.0,0.0,0.0
Steve Spurrier,SFO,QB,30.0,53.13999999999999,11.0,6.0,1151.0,5.0,207.0,91.0,0.0,15.0,0.0,0.0,,0.0,7.0,4.0,0.0
Howard Twilley,MIA,WR,32.0,84.6,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,4.0,,24.0,0.0,0.0,0.0
